epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,19013.5,1.10561,1.26419,1.07286,0.61525,0.37483,0.42275,0.29638,1.13127,2.39819,1.15704,0.004456,0.004456,0.004456
58,19344.3,1.10944,1.24591,1.07597,0.62626,0.37316,0.42379,0.29722,1.13141,2.39674,1.15675,0.004357,0.004357,0.004357
59,19675.3,1.09658,1.227,1.07054,0.62443,0.3736,0.42357,0.29712,1.13088,2.39409,1.15607,0.004258,0.004258,0.004258
60,20004.8,1.09517,1.22544,1.06904,0.60707,0.382,0.42422,0.29717,1.13061,2.3918,1.1556,0.004159,0.004159,0.004159
61,20335.6,1.08681,1.20894,1.06318,0.58745,0.38968,0.4253,0.29763,1.12978,2.39027,1.15451,0.00406,0.00406,0.00406
62,20667.1,1.08599,1.1958,1.06411,0.61029,0.38228,0.42688,0.29896,1.12957,2.38635,1.15432,0.003961,0.003961,0.003961
63,20998.2,1.08339,1.1851,1.06132,0.6077,0.38237,0.42772,0.29929,1.12886,2.3814,1.15398,0.003862,0.003862,0.003862
64,21328.9,1.0797,1.17242,1.0585,0.61304,0.38038,0.42864,0.29973,1.12891,2.37957,1.154,0.003763,0.003763,0.003763
65,21660.1,1.07735,1.17275,1.05679,0.61045,0.38053,0.42863,0.29992,1.12815,2.37829,1.1531,0.003664,0.003664,0.003664
66,21990.4,1.0721,1.15103,1.05232,0.61152,0.3815,0.429,0.30029,1.12789,2.37585,1.15259,0.003565,0.003565,0.003565
67,22320.3,1.07018,1.14691,1.05155,0.60739,0.38398,0.42977,0.30097,1.12755,2.37517,1.15212,0.003466,0.003466,0.003466
68,22648.8,1.07237,1.15019,1.05562,0.60281,0.38785,0.43028,0.30095,1.12723,2.37358,1.15208,0.003367,0.003367,0.003367
69,22977.3,1.06451,1.13212,1.04908,0.60439,0.39004,0.43095,0.30168,1.12673,2.3713,1.15184,0.003268,0.003268,0.003268
70,23307,1.05737,1.11874,1.04949,0.60252,0.38957,0.43104,0.30193,1.12628,2.3695,1.15164,0.003169,0.003169,0.003169
71,23635,1.06173,1.11988,1.04854,0.6045,0.38974,0.43147,0.3023,1.12595,2.36767,1.15131,0.00307,0.00307,0.00307
72,23963.8,1.05308,1.10275,1.04491,0.60141,0.39122,0.4315,0.30223,1.1256,2.36654,1.15091,0.002971,0.002971,0.002971
73,24292.5,1.05073,1.09432,1.04331,0.60421,0.38903,0.43202,0.3031,1.12565,2.36488,1.15062,0.002872,0.002872,0.002872
74,24621.3,1.04965,1.09245,1.04162,0.60448,0.38832,0.43185,0.30322,1.12529,2.3626,1.14997,0.002773,0.002773,0.002773
75,24950.5,1.04154,1.07062,1.03821,0.60663,0.38905,0.43265,0.30329,1.125,2.36113,1.14965,0.002674,0.002674,0.002674
76,25290.8,1.04473,1.06603,1.03896,0.60735,0.39155,0.43359,0.30372,1.12496,2.35898,1.14955,0.002575,0.002575,0.002575
77,25619.3,1.03718,1.05388,1.03325,0.60636,0.39297,0.43426,0.30408,1.12481,2.35728,1.14911,0.002476,0.002476,0.002476
78,25947.8,1.02335,1.03017,1.02865,0.60422,0.39434,0.43444,0.30449,1.12512,2.35538,1.14917,0.002377,0.002377,0.002377
79,26276,1.02761,1.03116,1.0281,0.6067,0.39318,0.43503,0.30494,1.12508,2.35408,1.14896,0.002278,0.002278,0.002278
80,26604.2,1.02417,1.03159,1.02981,0.5905,0.40187,0.43568,0.30534,1.12485,2.35307,1.14841,0.002179,0.002179,0.002179
81,26933,1.02084,1.01619,1.02555,0.59153,0.40094,0.43633,0.30579,1.12463,2.35114,1.14811,0.00208,0.00208,0.00208
82,27260.9,1.01673,1.00827,1.02474,0.59211,0.40043,0.4367,0.30618,1.12452,2.34871,1.14764,0.001981,0.001981,0.001981
83,27588.7,1.01223,1.00338,1.02089,0.60999,0.39478,0.43659,0.30626,1.12438,2.3472,1.14743,0.001882,0.001882,0.001882
84,27916.8,1.01136,0.99631,1.02318,0.61534,0.39354,0.43725,0.30663,1.1243,2.34684,1.1472,0.001783,0.001783,0.001783
85,28245.2,1.00511,0.9773,1.01999,0.61516,0.39413,0.43805,0.30754,1.12426,2.34497,1.14697,0.001684,0.001684,0.001684
86,28574.2,1.01286,0.98754,1.02305,0.60603,0.39872,0.43865,0.30823,1.12411,2.34314,1.14672,0.001585,0.001585,0.001585
87,28902,0.99584,0.96776,1.01416,0.60517,0.39922,0.4393,0.30833,1.12423,2.34024,1.14658,0.001486,0.001486,0.001486
88,29230,0.99571,0.95616,1.01412,0.61612,0.39605,0.43974,0.30867,1.12405,2.33824,1.14594,0.001387,0.001387,0.001387
89,29558.6,0.98757,0.94539,1.01106,0.60628,0.40035,0.44023,0.30914,1.12392,2.33647,1.14571,0.001288,0.001288,0.001288
90,29887.3,0.98981,0.94412,1.01254,0.60545,0.40104,0.44086,0.30957,1.12415,2.33424,1.14578,0.001189,0.001189,0.001189
